line,station,hour,day_of_week,is_weekend,is_peak_hour,crowd_level
Western,Andheri,0,Monday,0,0,Low
Western,Andheri,1,Monday,0,0,Low
Western,Andheri,2,Monday,0,0,Low
Western,Andheri,3,Monday,0,0,Low
Western,Andheri,4,Monday,0,0,Low
Western,Andheri,5,Monday,0,0,Low
Western,Andheri,6,Monday,0,0,Low
Western,Andheri,7,Monday,0,0,Low
Western,Andheri,8,Monday,0,1,Extreme
Western,Andheri,9,Monday,0,1,Extreme
Western,Andheri,10,Monday,0,1,Extreme
Western,Andheri,11,Monday,0,0,Medium
Western,Andheri,12,Monday,0,0,Medium
Western,Andheri,13,Monday,0,0,Medium
Western,Andheri,14,Monday,0,0,Medium
Western,Andheri,15,Monday,0,0,Medium
Western,Andheri,16,Monday,0,0,Medium
Western,Andheri,17,Monday,0,0,Medium
Western,Andheri,18,Monday,0,1,Extreme
Western,Andheri,19,Monday,0,1,Extreme
Western,Andheri,20,Monday,0,1,Extreme
Western,Andheri,21,Monday,0,1,Extreme
Western,Andheri,22,Monday,0,0,Low
Western,Andheri,23,Monday,0,0,Low
Western,Andheri,0,Tuesday,0,0,Low
Western,Andheri,1,Tuesday,0,0,Low
Western,Andheri,2,Tuesday,0,0,Low
Western,Andheri,3,Tuesday,0,0,Low
Western,Andheri,4,Tuesday,0,0,Low
Western,Andheri,5,Tuesday,0,0,Low
Western,Andheri,6,Tuesday,0,0,Low
Western,Andheri,7,Tuesday,0,0,Low
Western,Andheri,8,Tuesday,0,1,Extreme
Western,Andheri,9,Tuesday,0,1,Extreme
Western,Andheri,10,Tuesday,0,1,Extreme
Western,Andheri,11,Tuesday,0,0,Medium
Western,Andheri,12,Tuesday,0,0,Medium
Western,Andheri,13,Tuesday,0,0,Medium
Western,Andheri,14,Tuesday,0,0,Medium
Western,Andheri,15,Tuesday,0,0,Medium
Western,Andheri,16,Tuesday,0,0,Medium
Western,Andheri,17,Tuesday,0,0,Medium
Western,Andheri,18,Tuesday,0,1,Extreme
Western,Andheri,19,Tuesday,0,1,Extreme
Western,Andheri,20,Tuesday,0,1,Extreme
Western,Andheri,21,Tuesday,0,1,Extreme
Western,Andheri,22,Tuesday,0,0,Low
Western,Andheri,23,Tuesday,0,0,Low
Western,Andheri,0,Wednesday,0,0,Low
Western,Andheri,1,Wednesday,0,0,Low
Western,Andheri,2,Wednesday,0,0,Low
Western,Andheri,3,Wednesday,0,0,Low
Western,Andheri,4,Wednesday,0,0,Low
Western,Andheri,5,Wednesday,0,0,Low
Western,Andheri,6,Wednesday,0,0,Low
Western,Andheri,7,Wednesday,0,0,Low
Western,Andheri,8,Wednesday,0,1,Extreme
Western,Andheri,9,Wednesday,0,1,Extreme
Western,Andheri,10,Wednesday,0,1,Extreme
Western,Andheri,11,Wednesday,0,0,Medium
Western,Andheri,12,Wednesday,0,0,Medium
Western,Andheri,13,Wednesday,0,0,Medium
Western,Andheri,14,Wednesday,0,0,Medium
Western,Andheri,15,Wednesday,0,0,Medium
Western,Andheri,16,Wednesday,0,0,Medium
Western,Andheri,17,Wednesday,0,0,Medium
Western,Andheri,18,Wednesday,0,1,Extreme
Western,Andheri,19,Wednesday,0,1,Extreme
Western,Andheri,20,Wednesday,0,1,Extreme
Western,Andheri,21,Wednesday,0,1,Extreme
Western,Andheri,22,Wednesday,0,0,Low
Western,Andheri,23,Wednesday,0,0,Low
Western,Andheri,0,Thursday,0,0,Low
Western,Andheri,1,Thursday,0,0,Low
Western,Andheri,2,Thursday,0,0,Low
Western,Andheri,3,Thursday,0,0,Low
Western,Andheri,4,Thursday,0,0,Low
Western,Andheri,5,Thursday,0,0,Low
Western,Andheri,6,Thursday,0,0,Low
Western,Andheri,7,Thursday,0,0,Low
Western,Andheri,8,Thursday,0,1,Extreme
Western,Andheri,9,Thursday,0,1,Extreme
Western,Andheri,10,Thursday,0,1,Extreme
Western,Andheri,11,Thursday,0,0,Medium
Western,Andheri,12,Thursday,0,0,Medium
Western,Andheri,13,Thursday,0,0,Medium
Western,Andheri,14,Thursday,0,0,Medium
Western,Andheri,15,Thursday,0,0,Medium
Western,Andheri,16,Thursday,0,0,Medium
Western,Andheri,17,Thursday,0,0,Medium
Western,Andheri,18,Thursday,0,1,Extreme
Western,Andheri,19,Thursday,0,1,Extreme
Western,Andheri,20,Thursday,0,1,Extreme
Western,Andheri,21,Thursday,0,1,Extreme
Western,Andheri,22,Thursday,0,0,Low
Western,Andheri,23,Thursday,0,0,Low
Western,Andheri,0,Friday,0,0,Low
Western,Andheri,1,Friday,0,0,Low
Western,Andheri,2,Friday,0,0,Low
Western,Andheri,3,Friday,0,0,Low
Western,Andheri,4,Friday,0,0,Low
Western,Andheri,5,Friday,0,0,Low
Western,Andheri,6,Friday,0,0,Low
Western,Andheri,7,Friday,0,0,Low
Western,Andheri,8,Friday,0,1,Extreme
Western,Andheri,9,Friday,0,1,Extreme
Western,Andheri,10,Friday,0,1,Extreme
Western,Andheri,11,Friday,0,0,Medium
Western,Andheri,12,Friday,0,0,Medium
Western,Andheri,13,Friday,0,0,Medium
Western,Andheri,14,Friday,0,0,Medium
Western,Andheri,15,Friday,0,0,Medium
Western,Andheri,16,Friday,0,0,Medium
Western,Andheri,17,Friday,0,0,Medium
Western,Andheri,18,Friday,0,1,Extreme
Western,Andheri,19,Friday,0,1,Extreme
Western,Andheri,20,Friday,0,1,Extreme
Western,Andheri,21,Friday,0,1,Extreme
Western,Andheri,22,Friday,0,0,Low
Western,Andheri,23,Friday,0,0,Low
Western,Andheri,0,Saturday,1,0,Low
Western,Andheri,1,Saturday,1,0,Low
Western,Andheri,2,Saturday,1,0,Low
Western,Andheri,3,Saturday,1,0,Low
Western,Andheri,4,Saturday,1,0,Low
Western,Andheri,5,Saturday,1,0,Low
Western,Andheri,6,Saturday,1,0,Low
Western,Andheri,7,Saturday,1,0,Low
Western,Andheri,8,Saturday,1,1,Low
Western,Andheri,9,Saturday,1,1,Low
Western,Andheri,10,Saturday,1,1,Low
Western,Andheri,11,Saturday,1,0,Medium
Western,Andheri,12,Saturday,1,0,Medium
Western,Andheri,13,Saturday,1,0,Medium
Western,Andheri,14,Saturday,1,0,Medium
Western,Andheri,15,Saturday,1,0,Medium
Western,Andheri,16,Saturday,1,0,Medium
Western,Andheri,17,Saturday,1,0,Medium
Western,Andheri,18,Saturday,1,1,Medium
Western,Andheri,19,Saturday,1,1,Medium
Western,Andheri,20,Saturday,1,1,Medium
Western,Andheri,21,Saturday,1,1,Low
Western,Andheri,22,Saturday,1,0,Low
Western,Andheri,23,Saturday,1,0,Low
Western,Andheri,0,Sunday,1,0,Low
Western,Andheri,1,Sunday,1,0,Low
Western,Andheri,2,Sunday,1,0,Low
Western,Andheri,3,Sunday,1,0,Low
Western,Andheri,4,Sunday,1,0,Low
Western,Andheri,5,Sunday,1,0,Low
Western,Andheri,6,Sunday,1,0,Low
Western,Andheri,7,Sunday,1,0,Low
Western,Andheri,8,Sunday,1,1,Low
Western,Andheri,9,Sunday,1,1,Low
Western,Andheri,10,Sunday,1,1,Low
Western,Andheri,11,Sunday,1,0,Medium
Western,Andheri,12,Sunday,1,0,Medium
Western,Andheri,13,Sunday,1,0,Medium
Western,Andheri,14,Sunday,1,0,Medium
Western,Andheri,15,Sunday,1,0,Medium
Western,Andheri,16,Sunday,1,0,Medium
Western,Andheri,17,Sunday,1,0,Medium
Western,Andheri,18,Sunday,1,1,Medium
Western,Andheri,19,Sunday,1,1,Medium
Western,Andheri,20,Sunday,1,1,Medium
Western,Andheri,21,Sunday,1,1,Low
Western,Andheri,22,Sunday,1,0,Low
Western,Andheri,23,Sunday,1,0,Low
Western,Bandra,0,Monday,0,0,Low
Western,Bandra,1,Monday,0,0,Low
Western,Bandra,2,Monday,0,0,Low
Western,Bandra,3,Monday,0,0,Low
Western,Bandra,4,Monday,0,0,Low
Western,Bandra,5,Monday,0,0,Low
Western,Bandra,6,Monday,0,0,Low
Western,Bandra,7,Monday,0,0,Low
Western,Bandra,8,Monday,0,1,High
Western,Bandra,9,Monday,0,1,High
Western,Bandra,10,Monday,0,1,High
Western,Bandra,11,Monday,0,0,Medium
Western,Bandra,12,Monday,0,0,Medium
Western,Bandra,13,Monday,0,0,Medium
Western,Bandra,14,Monday,0,0,Medium
Western,Bandra,15,Monday,0,0,Medium
Western,Bandra,16,Monday,0,0,Medium
Western,Bandra,17,Monday,0,0,Medium
Western,Bandra,18,Monday,0,1,High
Western,Bandra,19,Monday,0,1,High
Western,Bandra,20,Monday,0,1,High
Western,Bandra,21,Monday,0,1,High
Western,Bandra,22,Monday,0,0,Low
Western,Bandra,23,Monday,0,0,Low
Western,Bandra,0,Tuesday,0,0,Low
Western,Bandra,1,Tuesday,0,0,Low
Western,Bandra,2,Tuesday,0,0,Low
Western,Bandra,3,Tuesday,0,0,Low
Western,Bandra,4,Tuesday,0,0,Low
Western,Bandra,5,Tuesday,0,0,Low
Western,Bandra,6,Tuesday,0,0,Low
Western,Bandra,7,Tuesday,0,0,Low
Western,Bandra,8,Tuesday,0,1,High
Western,Bandra,9,Tuesday,0,1,High
Western,Bandra,10,Tuesday,0,1,High
Western,Bandra,11,Tuesday,0,0,Medium
Western,Bandra,12,Tuesday,0,0,Medium
Western,Bandra,13,Tuesday,0,0,Medium
Western,Bandra,14,Tuesday,0,0,Medium
Western,Bandra,15,Tuesday,0,0,Medium
Western,Bandra,16,Tuesday,0,0,Medium
Western,Bandra,17,Tuesday,0,0,Medium
Western,Bandra,18,Tuesday,0,1,High
Western,Bandra,19,Tuesday,0,1,High
Western,Bandra,20,Tuesday,0,1,High
Western,Bandra,21,Tuesday,0,1,High
Western,Bandra,22,Tuesday,0,0,Low
Western,Bandra,23,Tuesday,0,0,Low
Western,Bandra,0,Wednesday,0,0,Low
Western,Bandra,1,Wednesday,0,0,Low
Western,Bandra,2,Wednesday,0,0,Low
Western,Bandra,3,Wednesday,0,0,Low
Western,Bandra,4,Wednesday,0,0,Low
Western,Bandra,5,Wednesday,0,0,Low
Western,Bandra,6,Wednesday,0,0,Low
Western,Bandra,7,Wednesday,0,0,Low
Western,Bandra,8,Wednesday,0,1,High
Western,Bandra,9,Wednesday,0,1,High
Western,Bandra,10,Wednesday,0,1,High
Western,Bandra,11,Wednesday,0,0,Medium
Western,Bandra,12,Wednesday,0,0,Medium
Western,Bandra,13,Wednesday,0,0,Medium
Western,Bandra,14,Wednesday,0,0,Medium
Western,Bandra,15,Wednesday,0,0,Medium
Western,Bandra,16,Wednesday,0,0,Medium
Western,Bandra,17,Wednesday,0,0,Medium
Western,Bandra,18,Wednesday,0,1,High
Western,Bandra,19,Wednesday,0,1,High
Western,Bandra,20,Wednesday,0,1,High
Western,Bandra,21,Wednesday,0,1,High
Western,Bandra,22,Wednesday,0,0,Low
Western,Bandra,23,Wednesday,0,0,Low
Western,Bandra,0,Thursday,0,0,Low
Western,Bandra,1,Thursday,0,0,Low
Western,Bandra,2,Thursday,0,0,Low
Western,Bandra,3,Thursday,0,0,Low
Western,Bandra,4,Thursday,0,0,Low
Western,Bandra,5,Thursday,0,0,Low
Western,Bandra,6,Thursday,0,0,Low
Western,Bandra,7,Thursday,0,0,Low
Western,Bandra,8,Thursday,0,1,High
Western,Bandra,9,Thursday,0,1,High
Western,Bandra,10,Thursday,0,1,High
Western,Bandra,11,Thursday,0,0,Medium
Western,Bandra,12,Thursday,0,0,Medium
Western,Bandra,13,Thursday,0,0,Medium
Western,Bandra,14,Thursday,0,0,Medium
Western,Bandra,15,Thursday,0,0,Medium
Western,Bandra,16,Thursday,0,0,Medium
Western,Bandra,17,Thursday,0,0,Medium
Western,Bandra,18,Thursday,0,1,High
Western,Bandra,19,Thursday,0,1,High
Western,Bandra,20,Thursday,0,1,High
Western,Bandra,21,Thursday,0,1,High
Western,Bandra,22,Thursday,0,0,Low
Western,Bandra,23,Thursday,0,0,Low
Western,Bandra,0,Friday,0,0,Low
Western,Bandra,1,Friday,0,0,Low
Western,Bandra,2,Friday,0,0,Low
Western,Bandra,3,Friday,0,0,Low
Western,Bandra,4,Friday,0,0,Low
Western,Bandra,5,Friday,0,0,Low
Western,Bandra,6,Friday,0,0,Low
Western,Bandra,7,Friday,0,0,Low
Western,Bandra,8,Friday,0,1,High
Western,Bandra,9,Friday,0,1,High
Western,Bandra,10,Friday,0,1,High
Western,Bandra,11,Friday,0,0,Medium
Western,Bandra,12,Friday,0,0,Medium
Western,Bandra,13,Friday,0,0,Medium
Western,Bandra,14,Friday,0,0,Medium
Western,Bandra,15,Friday,0,0,Medium
Western,Bandra,16,Friday,0,0,Medium
Western,Bandra,17,Friday,0,0,Medium
Western,Bandra,18,Friday,0,1,High
Western,Bandra,19,Friday,0,1,High
Western,Bandra,20,Friday,0,1,High
Western,Bandra,21,Friday,0,1,High
Western,Bandra,22,Friday,0,0,Low
Western,Bandra,23,Friday,0,0,Low
Western,Bandra,0,Saturday,1,0,Low
Western,Bandra,1,Saturday,1,0,Low
Western,Bandra,2,Saturday,1,0,Low
Western,Bandra,3,Saturday,1,0,Low
Western,Bandra,4,Saturday,1,0,Low
Western,Bandra,5,Saturday,1,0,Low
Western,Bandra,6,Saturday,1,0,Low
Western,Bandra,7,Saturday,1,0,Low
Western,Bandra,8,Saturday,1,1,Low
Western,Bandra,9,Saturday,1,1,Low
Western,Bandra,10,Saturday,1,1,Low
Western,Bandra,11,Saturday,1,0,Medium
Western,Bandra,12,Saturday,1,0,Medium
Western,Bandra,13,Saturday,1,0,Medium
Western,Bandra,14,Saturday,1,0,Medium
Western,Bandra,15,Saturday,1,0,Medium
Western,Bandra,16,Saturday,1,0,Medium
Western,Bandra,17,Saturday,1,0,Medium
Western,Bandra,18,Saturday,1,1,Medium
Western,Bandra,19,Saturday,1,1,Medium
Western,Bandra,20,Saturday,1,1,Medium
Western,Bandra,21,Saturday,1,1,Low
Western,Bandra,22,Saturday,1,0,Low
Western,Bandra,23,Saturday,1,0,Low
Western,Bandra,0,Sunday,1,0,Low
Western,Bandra,1,Sunday,1,0,Low
Western,Bandra,2,Sunday,1,0,Low
Western,Bandra,3,Sunday,1,0,Low
Western,Bandra,4,Sunday,1,0,Low
Western,Bandra,5,Sunday,1,0,Low
Western,Bandra,6,Sunday,1,0,Low
Western,Bandra,7,Sunday,1,0,Low
Western,Bandra,8,Sunday,1,1,Low
Western,Bandra,9,Sunday,1,1,Low
Western,Bandra,10,Sunday,1,1,Low
Western,Bandra,11,Sunday,1,0,Medium
Western,Bandra,12,Sunday,1,0,Medium
Western,Bandra,13,Sunday,1,0,Medium
Western,Bandra,14,Sunday,1,0,Medium
Western,Bandra,15,Sunday,1,0,Medium
Western,Bandra,16,Sunday,1,0,Medium
Western,Bandra,17,Sunday,1,0,Medium
Western,Bandra,18,Sunday,1,1,Medium
Western,Bandra,19,Sunday,1,1,Medium
Western,Bandra,20,Sunday,1,1,Medium
Western,Bandra,21,Sunday,1,1,Low
Western,Bandra,22,Sunday,1,0,Low
Western,Bandra,23,Sunday,1,0,Low
Western,Dadar,0,Monday,0,0,Low
Western,Dadar,1,Monday,0,0,Low
Western,Dadar,2,Monday,0,0,Low
Western,Dadar,3,Monday,0,0,Low
Western,Dadar,4,Monday,0,0,Low
Western,Dadar,5,Monday,0,0,Low
Western,Dadar,6,Monday,0,0,Low
Western,Dadar,7,Monday,0,0,Low
Western,Dadar,8,Monday,0,1,Extreme
Western,Dadar,9,Monday,0,1,Extreme
Western,Dadar,10,Monday,0,1,Extreme
Western,Dadar,11,Monday,0,0,Medium
Western,Dadar,12,Monday,0,0,Medium
Western,Dadar,13,Monday,0,0,Medium
Western,Dadar,14,Monday,0,0,Medium
Western,Dadar,15,Monday,0,0,Medium
Western,Dadar,16,Monday,0,0,Medium
Western,Dadar,17,Monday,0,0,Medium
Western,Dadar,18,Monday,0,1,Extreme
Western,Dadar,19,Monday,0,1,Extreme
Western,Dadar,20,Monday,0,1,Extreme
Western,Dadar,21,Monday,0,1,Extreme
Western,Dadar,22,Monday,0,0,Low
Western,Dadar,23,Monday,0,0,Low
Western,Dadar,0,Tuesday,0,0,Low
Western,Dadar,1,Tuesday,0,0,Low
Western,Dadar,2,Tuesday,0,0,Low
Western,Dadar,3,Tuesday,0,0,Low
Western,Dadar,4,Tuesday,0,0,Low
Western,Dadar,5,Tuesday,0,0,Low
Western,Dadar,6,Tuesday,0,0,Low
Western,Dadar,7,Tuesday,0,0,Low
Western,Dadar,8,Tuesday,0,1,Extreme
Western,Dadar,9,Tuesday,0,1,Extreme
Western,Dadar,10,Tuesday,0,1,Extreme
Western,Dadar,11,Tuesday,0,0,Medium
Western,Dadar,12,Tuesday,0,0,Medium
Western,Dadar,13,Tuesday,0,0,Medium
Western,Dadar,14,Tuesday,0,0,Medium
Western,Dadar,15,Tuesday,0,0,Medium
Western,Dadar,16,Tuesday,0,0,Medium
Western,Dadar,17,Tuesday,0,0,Medium
Western,Dadar,18,Tuesday,0,1,Extreme
Western,Dadar,19,Tuesday,0,1,Extreme
Western,Dadar,20,Tuesday,0,1,Extreme
Western,Dadar,21,Tuesday,0,1,Extreme
Western,Dadar,22,Tuesday,0,0,Low
Western,Dadar,23,Tuesday,0,0,Low
Western,Dadar,0,Wednesday,0,0,Low
Western,Dadar,1,Wednesday,0,0,Low
Western,Dadar,2,Wednesday,0,0,Low
Western,Dadar,3,Wednesday,0,0,Low
Western,Dadar,4,Wednesday,0,0,Low
Western,Dadar,5,Wednesday,0,0,Low
Western,Dadar,6,Wednesday,0,0,Low
Western,Dadar,7,Wednesday,0,0,Low
Western,Dadar,8,Wednesday,0,1,Extreme
Western,Dadar,9,Wednesday,0,1,Extreme
Western,Dadar,10,Wednesday,0,1,Extreme
Western,Dadar,11,Wednesday,0,0,Medium
Western,Dadar,12,Wednesday,0,0,Medium
Western,Dadar,13,Wednesday,0,0,Medium
Western,Dadar,14,Wednesday,0,0,Medium
Western,Dadar,15,Wednesday,0,0,Medium
Western,Dadar,16,Wednesday,0,0,Medium
Western,Dadar,17,Wednesday,0,0,Medium
Western,Dadar,18,Wednesday,0,1,Extreme
Western,Dadar,19,Wednesday,0,1,Extreme
Western,Dadar,20,Wednesday,0,1,Extreme
Western,Dadar,21,Wednesday,0,1,Extreme
Western,Dadar,22,Wednesday,0,0,Low
Western,Dadar,23,Wednesday,0,0,Low
Western,Dadar,0,Thursday,0,0,Low
Western,Dadar,1,Thursday,0,0,Low
Western,Dadar,2,Thursday,0,0,Low
Western,Dadar,3,Thursday,0,0,Low
Western,Dadar,4,Thursday,0,0,Low
Western,Dadar,5,Thursday,0,0,Low
Western,Dadar,6,Thursday,0,0,Low
Western,Dadar,7,Thursday,0,0,Low
Western,Dadar,8,Thursday,0,1,Extreme
Western,Dadar,9,Thursday,0,1,Extreme
Western,Dadar,10,Thursday,0,1,Extreme
Western,Dadar,11,Thursday,0,0,Medium
Western,Dadar,12,Thursday,0,0,Medium
Western,Dadar,13,Thursday,0,0,Medium
Western,Dadar,14,Thursday,0,0,Medium
Western,Dadar,15,Thursday,0,0,Medium
Western,Dadar,16,Thursday,0,0,Medium
Western,Dadar,17,Thursday,0,0,Medium
Western,Dadar,18,Thursday,0,1,Extreme
Western,Dadar,19,Thursday,0,1,Extreme
Western,Dadar,20,Thursday,0,1,Extreme
Western,Dadar,21,Thursday,0,1,Extreme
Western,Dadar,22,Thursday,0,0,Low
Western,Dadar,23,Thursday,0,0,Low
Western,Dadar,0,Friday,0,0,Low
Western,Dadar,1,Friday,0,0,Low
Western,Dadar,2,Friday,0,0,Low
Western,Dadar,3,Friday,0,0,Low
Western,Dadar,4,Friday,0,0,Low
Western,Dadar,5,Friday,0,0,Low
Western,Dadar,6,Friday,0,0,Low
Western,Dadar,7,Friday,0,0,Low
Western,Dadar,8,Friday,0,1,Extreme
Western,Dadar,9,Friday,0,1,Extreme
Western,Dadar,10,Friday,0,1,Extreme
Western,Dadar,11,Friday,0,0,Medium
Western,Dadar,12,Friday,0,0,Medium
Western,Dadar,13,Friday,0,0,Medium
Western,Dadar,14,Friday,0,0,Medium
Western,Dadar,15,Friday,0,0,Medium
Western,Dadar,16,Friday,0,0,Medium
Western,Dadar,17,Friday,0,0,Medium
Western,Dadar,18,Friday,0,1,Extreme
Western,Dadar,19,Friday,0,1,Extreme
Western,Dadar,20,Friday,0,1,Extreme
Western,Dadar,21,Friday,0,1,Extreme
Western,Dadar,22,Friday,0,0,Low
Western,Dadar,23,Friday,0,0,Low
